Date,Clicks,Impressions,CTR,Position
2026-01-27,0,0,,
2026-01-28,0,0,,
2026-01-29,0,7,0%,22.6
2026-01-30,1,13,7.69%,21.7
2026-01-31,0,10,0%,46.4
2026-02-01,0,9,0%,48.3
2026-02-02,0,16,0%,34.4
2026-02-03,0,7,0%,8.4
2026-02-04,0,43,0%,10.3
2026-02-05,1,47,2.13%,16
2026-02-06,1,57,1.75%,16.5
2026-02-07,1,41,2.44%,15
2026-02-08,0,41,0%,31.3
2026-02-09,0,39,0%,32.6
2026-02-10,2,45,4.44%,27.9
2026-02-11,1,41,2.44%,23.5
2026-02-12,1,57,1.75%,26.5
2026-02-13,0,32,0%,22.2
2026-02-14,1,31,3.23%,22.2
2026-02-15,2,53,3.77%,19.8
2026-02-16,1,56,1.79%,25
2026-02-17,3,66,4.55%,20
2026-02-18,3,88,3.41%,20
2026-02-19,0,55,0%,29.4
2026-02-20,0,43,0%,26.5
2026-02-21,0,60,0%,17.2
2026-02-22,1,37,2.7%,27.7
