Country,Clicks,Impressions,CTR,Position
United Arab Emirates,17,736,2.31%,22.55
Sweden,1,3,33.33%,9.67
Palestine,1,1,100%,10
Saudi Arabia,0,192,0%,28.74
Egypt,0,12,0%,8
United States,0,7,0%,12.29
Germany,0,6,0%,9.17
Lebanon,0,3,0%,7.67
India,0,3,0%,10
Oman,0,3,0%,10.33
Brazil,0,2,0%,6
Jordan,0,2,0%,6.5
Italy,0,2,0%,8.5
Turkey,0,2,0%,9
Romania,0,2,0%,10
Yemen,0,2,0%,11
United Kingdom,0,2,0%,12.5
Morocco,0,1,0%,1
France,0,1,0%,3
Singapore,0,1,0%,3
Bahrain,0,1,0%,8
Kuwait,0,1,0%,8
Mauritania,0,1,0%,8
Congo - Kinshasa,0,1,0%,10
Qatar,0,1,0%,10
Russia,0,1,0%,10
Greece,0,1,0%,11
Ireland,0,1,0%,11
Puerto Rico,0,1,0%,11
Czechia,0,1,0%,13
Israel,0,1,0%,18
